frame,fps,latency_ms,cpu_percent,raw_messages,context_messages,decision_messages,priority_scores,priority_levels,final_messages
410,11.31,87.82,61.8,4,1,0,,,
411,11.58,85.7,58.8,4,0,0,,,
412,11.38,87.27,57.6,3,0,0,,,
413,11.52,86.19,57.6,3,0,0,,,
414,11.64,85.3,59.4,2,0,0,,,
415,11.56,85.88,60.0,3,1,0,,,
416,11.59,85.65,58.8,4,2,2,"0.884,0.83","HIGH,HIGH",Person very close on your left | Person very close ahead
417,11.57,85.84,61.1,3,0,0,,,
418,11.55,85.97,60.0,3,0,0,,,
419,11.62,85.44,61.8,3,0,0,,,
420,11.49,86.4,63.2,3,0,0,,,
421,11.61,85.54,60.0,3,0,0,,,
422,11.55,85.95,57.6,3,1,1,0.883,HIGH,Person very close on your right
423,11.32,87.7,57.6,4,1,0,,,
424,11.53,86.1,57.6,3,0,0,,,
425,11.44,86.85,60.0,3,0,0,,,
426,11.55,85.98,62.9,3,0,0,,,
427,11.59,85.71,53.3,3,0,0,,,
428,11.56,85.89,58.8,3,0,0,,,
429,11.62,85.47,61.1,4,1,0,,,
430,11.61,85.48,57.6,3,1,1,0.709,HIGH,Person very close on your left
431,11.58,85.77,62.2,4,1,0,,,
432,11.55,85.92,58.8,4,0,0,,,
433,11.51,86.28,58.8,4,0,0,,,
434,9.98,99.61,56.8,4,0,0,,,
435,11.53,86.14,58.8,4,0,0,,,
436,11.56,85.84,62.2,3,0,0,,,
437,11.62,85.45,60.6,3,0,0,,,
438,11.54,86.01,58.8,3,0,0,,,
439,11.47,86.62,62.2,3,0,0,,,
440,11.51,86.25,61.1,3,0,0,,,
441,11.47,86.6,60.0,3,0,0,,,
442,11.53,86.13,54.8,3,0,0,,,
443,11.63,85.39,58.8,3,0,0,,,
444,11.51,86.3,63.9,3,0,0,,,
445,11.56,85.92,54.8,3,0,0,,,
446,11.42,86.91,58.8,3,0,0,,,
447,10.99,90.35,64.7,3,0,0,,,
448,11.54,86.07,63.2,3,0,0,,,
449,11.57,85.8,57.6,3,0,0,,,
450,11.57,85.79,60.0,3,0,0,,,
451,11.6,85.58,62.2,3,0,0,,,
452,11.52,86.16,59.4,3,0,0,,,
453,11.57,85.84,58.8,3,0,0,,,
454,11.6,85.58,61.1,3,0,0,,,
455,11.55,85.94,57.6,3,0,0,,,
456,11.52,86.2,60.0,3,0,0,,,
457,11.31,87.84,60.0,3,0,0,,,
458,11.58,85.69,61.1,4,1,1,0.71,HIGH,Person very close on your right
459,11.27,88.15,62.9,3,0,0,,,
460,11.65,85.21,57.6,3,0,0,,,
461,11.57,85.86,56.3,3,0,0,,,
462,11.57,85.78,57.6,4,1,0,,,
463,11.56,85.91,61.1,6,3,2,"0.835,0.625","HIGH,MEDIUM",Person very close on your right | Person on your left
464,11.54,86.04,58.8,5,2,2,"0.752,0.456","HIGH,MEDIUM",Person very close on your left | chair on your right
465,11.54,86.03,57.6,5,0,0,,,
466,11.61,85.54,62.9,5,0,0,,,
467,11.57,85.83,61.1,3,1,1,0.673,MEDIUM,Person very close on your left
468,11.56,85.88,58.8,3,2,2,"0.893,0.774","HIGH,HIGH",Person very close ahead | Person very close on your left
469,11.37,87.37,57.6,3,0,0,,,
470,11.53,86.1,60.0,3,0,0,,,
471,11.56,85.89,58.8,3,0,0,,,
472,11.59,85.64,57.6,3,0,0,,,
473,11.57,85.85,58.8,3,0,0,,,
474,11.61,85.53,61.1,3,0,0,,,
475,11.55,85.94,58.8,3,0,0,,,
476,11.59,85.67,58.1,3,0,0,,,
477,11.55,85.96,60.0,3,0,0,,,
