frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,tracks,raw_messages,context_messages,message,reason
239,27.35,106.07,9.43,56.8,16.2,53.8,1,6,6,0,,
240,27.459,106.15,9.42,53.7,16.2,54.9,1,6,6,0,,
241,27.568,106.54,9.39,55.8,16.2,54.3,1,5,5,0,,
242,27.678,106.3,9.41,55.8,16.2,54.3,1,4,4,0,,
243,27.787,108.02,9.26,54.8,16.1,52.1,1,4,4,0,,
244,27.898,107.34,9.32,56.8,16.1,54.3,1,4,4,1,person ahead,position_changed
245,28.008,106.62,9.38,54.8,16.1,54.3,1,3,3,0,,
246,28.117,106.2,9.42,59.6,16.1,53.8,1,3,3,0,,
247,28.226,105.94,9.44,52.5,16.1,54.3,1,3,3,0,,
248,28.335,106.81,9.36,54.8,16.1,53.8,1,2,2,0,,
249,28.444,106.76,9.37,55.8,16.1,54.9,1,1,1,0,,
250,28.553,105.74,9.46,58.7,16.1,54.3,1,1,1,0,,
251,28.662,106.66,9.38,57.8,16.1,54.3,1,1,1,0,,
252,28.771,106.82,9.36,56.8,16.1,54.3,1,1,1,0,,
253,28.881,107.4,9.31,56.8,16.1,53.2,1,1,1,0,,
254,28.991,106.66,9.38,52.5,16.1,54.3,1,1,1,1,person on the left,position_changed
255,29.1,107.06,9.34,56.8,16.1,54.3,3,3,3,0,,
256,29.21,106.37,9.4,52.4,16.1,54.3,3,3,3,0,,
257,29.319,105.83,9.45,54.8,16.1,54.9,3,3,3,0,,
258,29.428,105.79,9.45,56.8,16.1,54.3,3,3,3,0,,
259,29.536,105.49,9.48,52.5,16.1,54.9,5,6,6,0,,
260,29.644,106.17,9.42,54.8,16.1,53.8,6,8,8,0,,
261,29.753,106.46,9.39,52.5,16.1,54.3,5,8,8,0,,
262,29.862,108.51,9.22,56.8,16.1,53.8,4,8,8,0,,
263,29.974,107.19,9.33,52.5,16.1,53.8,5,9,9,0,,
264,30.083,106.29,9.41,55.8,16.1,54.3,3,9,9,0,,
265,30.192,105.68,9.46,53.7,16.1,54.3,5,9,9,0,,
266,30.301,106.1,9.43,55.8,16.1,53.8,3,9,9,0,,
267,30.41,105.45,9.48,56.8,16.1,54.3,3,9,9,0,,
268,30.518,105.65,9.47,56.8,16.1,54.3,3,9,9,0,,
269,30.626,105.35,9.49,56.8,16.1,53.8,4,9,9,0,,
270,30.734,105.98,9.44,52.5,16.1,55.4,3,8,8,0,,
271,30.843,107.83,9.27,57.8,16.1,54.3,6,7,7,0,,
272,30.953,106.29,9.41,58.7,16.1,54.9,4,7,7,0,,
273,31.062,105.74,9.46,52.5,16.1,54.3,5,7,7,0,,
274,31.171,106.39,9.4,58.7,16.1,55.4,4,7,7,0,,
