frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,tracks,raw_messages,context_messages,message,reason
241,27.567,106.31,9.41,55.8,16.1,54.3,2,3,3,0,,
242,27.676,105.51,9.48,52.5,16.1,53.8,2,3,3,0,,
243,27.784,111.23,8.99,51.2,16.1,53.2,1,3,3,0,,
244,27.898,106.24,9.41,59.6,16.1,54.3,1,3,3,0,,
245,28.007,105.81,9.45,52.5,16.1,54.3,1,3,3,0,,
246,28.116,107.78,9.28,55.6,16.1,54.9,1,3,3,0,,
247,28.226,106.89,9.36,56.8,16.1,54.3,1,3,3,1,remote on the left,position_changed
248,28.336,105.28,9.5,52.5,16.1,53.8,1,3,3,0,,
249,28.444,106.07,9.43,55.8,16.1,53.2,1,2,2,0,,
250,28.552,105.64,9.47,54.8,16.1,53.8,1,2,2,0,,
251,28.661,105.76,9.45,54.8,16.1,53.8,1,2,2,0,,
252,28.769,106.32,9.41,57.8,16.1,53.8,1,2,2,0,,
253,28.878,105.36,9.49,56.8,16.1,54.3,1,1,1,0,,
254,28.986,105.48,9.48,56.8,16.1,54.3,2,2,2,1,remote ahead,new_object
255,29.094,106.47,9.39,57.8,16.1,54.3,1,2,2,0,,
256,29.203,105.46,9.48,54.8,16.1,54.3,1,2,2,0,,
257,29.312,105.6,9.47,54.8,16.1,54.3,1,2,2,0,,
258,29.42,105.54,9.47,56.8,16.1,54.3,2,2,2,0,,
259,29.528,105.37,9.49,55.8,16.1,53.8,2,2,2,0,,
260,29.636,105.99,9.44,57.8,16.1,54.9,1,2,2,0,,
261,29.745,106.92,9.35,57.8,16.1,54.3,1,2,2,0,,
262,29.854,106.06,9.43,55.8,16.1,53.8,2,2,2,0,,
263,29.963,105.72,9.46,57.8,16.1,54.9,2,2,2,0,,
264,30.072,105.43,9.48,54.8,16.1,54.3,2,2,2,0,,
265,30.18,106.47,9.39,56.8,16.1,53.2,2,3,3,1,frisbee ahead,new_object
266,30.289,105.78,9.45,53.7,16.1,54.3,1,3,3,0,,
267,30.397,105.78,9.45,54.8,16.1,54.3,2,3,3,0,,
268,30.506,106.02,9.43,57.8,16.1,54.9,2,4,4,1,remote ahead,new_object
269,30.614,105.33,9.49,55.8,16.1,54.3,2,5,5,1,banana ahead,new_object
270,30.722,105.37,9.49,56.8,16.1,54.9,1,5,5,0,,
271,30.831,106.55,9.39,59.6,16.1,54.3,2,6,6,1,banana ahead,new_object
272,30.94,105.02,9.52,53.7,16.1,54.3,2,6,6,0,,
273,31.047,104.81,9.54,56.8,16.1,54.9,3,7,7,1,person ahead,new_object
274,31.155,106.56,9.38,55.8,16.1,54.9,3,8,8,1,remote ahead,new_object
275,31.264,106.3,9.41,59.1,16.1,54.9,1,7,7,0,,
276,31.373,104.79,9.54,52.5,16.1,54.3,1,7,7,0,,
277,31.481,105.35,9.49,51.3,16.1,54.9,1,7,7,0,,
278,31.589,105.59,9.47,56.8,16.1,53.8,1,6,6,0,,
279,31.697,105.81,9.45,57.8,16.1,54.3,1,5,5,0,,
280,31.805,112.45,8.89,61.7,16.1,54.9,1,4,4,0,,
281,31.921,107.27,9.32,58.7,16.1,54.9,1,4,4,0,,
282,32.031,106.18,9.42,58.7,16.1,54.3,1,4,4,0,,
283,32.139,108.06,9.25,56.8,16.1,54.3,1,4,4,0,,
284,32.25,105.46,9.48,53.7,16.1,54.9,1,3,3,0,,
285,32.358,105.69,9.46,52.5,16.1,54.9,2,2,2,1,person ahead,new_object
286,32.467,105.36,9.49,55.8,16.1,54.3,2,2,2,1,person ahead,cooldown
287,32.575,105.01,9.52,53.7,16.1,54.3,1,2,2,0,,
288,32.682,105.08,9.52,56.8,16.1,55.4,1,2,2,0,,
289,32.79,106.64,9.38,57.8,16.1,54.9,1,2,2,0,,
290,32.899,105.41,9.49,55.8,16.1,55.4,1,2,2,0,,
