frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,active_tracks,track_ids
191,22.491,108.16,9.25,55.8,16.1,52.1,1,2,"[1, 12]"
192,22.602,110.09,9.08,55.3,16.1,52.7,2,2,"[1, 12]"
193,22.715,107.43,9.31,55.8,16.1,52.1,1,2,"[1, 12]"
194,22.825,107.67,9.29,54.5,16.1,52.7,1,2,"[1, 12]"
195,22.935,108.98,9.18,53.5,16.1,53.2,1,2,"[1, 12]"
196,23.047,108.19,9.24,53.5,16.1,53.8,2,3,"[1, 12, 13]"
197,23.158,107.98,9.26,58.3,16.1,53.2,2,3,"[1, 12, 13]"
198,23.268,108.21,9.24,56.5,16.1,53.2,1,3,"[1, 12, 13]"
199,23.379,108.0,9.26,56.8,16.1,53.2,1,3,"[1, 12, 13]"
200,23.49,107.92,9.27,55.6,16.1,53.2,1,3,"[1, 12, 13]"
201,23.601,109.72,9.11,55.6,16.1,53.2,2,3,"[1, 12, 13]"
202,23.713,108.35,9.23,56.5,16.1,53.2,2,3,"[1, 12, 13]"
203,23.824,108.24,9.24,57.4,16.1,52.1,1,2,"[1, 13]"
204,23.935,108.03,9.26,53.5,16.1,52.7,1,2,"[1, 13]"
205,24.046,108.25,9.24,56.8,16.1,53.8,1,2,"[1, 13]"
206,24.157,107.85,9.27,55.6,16.1,52.7,1,2,"[1, 13]"
207,24.268,108.17,9.24,54.5,16.1,52.1,1,2,"[1, 13]"
208,24.379,107.9,9.27,52.4,16.1,52.7,2,3,"[1, 13, 14]"
209,24.489,108.11,9.25,56.5,16.1,53.2,2,3,"[1, 13, 14]"
210,24.6,109.82,9.11,56.5,16.0,53.2,1,3,"[1, 13, 14]"
211,24.713,109.2,9.16,58.7,16.0,53.2,1,3,"[1, 13, 14]"
212,24.825,108.15,9.25,56.5,16.0,53.8,2,3,"[1, 13, 14]"
213,24.936,108.52,9.21,54.5,16.0,53.2,1,2,"[1, 14]"
214,25.047,108.04,9.26,53.5,16.0,53.8,2,2,"[1, 14]"
215,25.158,108.06,9.25,56.5,16.0,53.8,2,2,"[1, 14]"
216,25.268,108.41,9.22,56.5,16.0,53.2,2,2,"[1, 14]"
217,25.379,108.15,9.25,54.5,16.0,52.7,2,2,"[1, 14]"
218,25.49,108.09,9.25,56.8,16.0,53.2,2,2,"[1, 14]"
219,25.601,114.7,8.72,58.7,16.0,53.8,2,2,"[1, 14]"
220,25.719,108.28,9.24,53.5,16.1,53.2,2,2,"[1, 14]"
221,25.83,107.69,9.29,54.5,16.1,53.8,2,2,"[1, 14]"
222,25.94,108.65,9.2,55.6,16.1,53.2,2,2,"[1, 14]"
223,26.052,107.21,9.33,53.7,16.1,53.8,1,2,"[1, 14]"
224,26.162,107.4,9.31,55.6,16.1,53.2,3,3,"[1, 14, 15]"
225,26.272,107.43,9.31,52.4,16.1,53.8,2,3,"[1, 14, 15]"
226,26.382,107.2,9.33,58.7,16.1,53.8,2,3,"[1, 14, 15]"
227,26.492,107.71,9.28,53.5,16.1,53.8,2,3,"[1, 14, 15]"
228,26.602,110.5,9.05,52.4,16.1,53.8,2,3,"[1, 14, 15]"
229,26.715,107.55,9.3,52.4,16.1,53.8,3,4,"[1, 14, 15, 16]"
230,26.827,107.49,9.3,53.5,16.1,53.2,2,4,"[1, 14, 15, 16]"
231,26.937,109.04,9.17,58.7,16.1,53.8,4,4,"[1, 14, 15, 16]"
232,27.049,107.6,9.29,54.5,16.1,53.8,1,4,"[1, 14, 15, 16]"
233,27.159,107.55,9.3,53.5,16.1,53.8,2,4,"[1, 14, 15, 16]"
234,27.269,107.4,9.31,54.5,16.1,53.2,2,4,"[1, 14, 15, 16]"
235,27.379,109.32,9.15,55.6,16.1,53.8,3,4,"[1, 14, 15, 16]"
236,27.491,110.15,9.08,52.4,16.1,53.8,3,4,"[1, 14, 15, 16]"
237,27.604,111.33,8.98,55.3,16.0,53.2,1,4,"[1, 14, 15, 16]"
238,27.719,108.25,9.24,55.8,16.0,53.8,1,4,"[1, 14, 15, 16]"
239,27.831,108.57,9.21,55.3,16.0,53.2,1,4,"[1, 14, 15, 16]"
240,27.942,108.25,9.24,56.5,16.0,53.8,2,4,"[1, 14, 15, 16]"
241,28.053,109.09,9.17,57.8,16.0,53.8,1,4,"[1, 14, 15, 16]"
242,28.165,108.58,9.21,55.6,16.0,54.3,2,4,"[1, 14, 15, 16]"
243,28.276,108.45,9.22,55.6,16.0,53.2,1,4,"[1, 14, 15, 16]"
244,28.387,108.09,9.25,56.5,16.0,53.8,1,4,"[1, 14, 15, 16]"
245,28.498,108.19,9.24,52.4,16.0,54.3,1,4,"[1, 14, 15, 16]"
246,28.609,109.86,9.1,55.6,16.0,53.2,1,4,"[1, 14, 15, 16]"
247,28.722,108.21,9.24,55.6,16.0,54.3,1,2,"[1, 14]"
248,28.834,108.59,9.21,56.5,16.0,53.8,1,2,"[1, 14]"
249,28.945,108.58,9.21,56.5,16.0,54.3,1,2,"[1, 14]"
250,29.056,108.36,9.23,58.3,16.0,54.3,2,2,"[1, 14]"
251,29.167,108.41,9.22,55.8,16.0,53.8,1,2,"[1, 14]"
252,29.278,108.51,9.22,54.5,16.0,53.8,2,2,"[1, 14]"
253,29.39,108.01,9.26,53.5,16.0,54.3,1,2,"[1, 14]"
254,29.5,108.37,9.23,56.5,16.0,53.8,1,2,"[1, 14]"
255,29.612,111.12,9.0,56.5,16.0,53.8,1,2,"[1, 14]"
256,29.726,108.33,9.23,54.5,16.0,53.2,1,2,"[1, 14]"
257,29.838,108.13,9.25,56.5,16.0,54.9,1,2,"[1, 14]"
258,29.948,108.76,9.19,58.3,16.0,54.3,1,2,"[1, 14]"
259,30.06,108.27,9.24,53.5,16.0,54.3,2,2,"[1, 14]"
260,30.171,107.84,9.27,57.8,16.0,53.8,1,2,"[1, 14]"
261,30.282,108.09,9.25,53.5,16.0,54.3,1,2,"[1, 14]"
