frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,tracks,raw_messages,context_messages,message,reason
217,24.802,104.9,9.53,54.8,16.1,53.8,1,1,1,0,,
218,24.909,106.04,9.43,54.8,16.1,53.2,1,1,1,0,,
219,25.018,105.44,9.48,58.1,16.1,53.8,1,1,1,0,,
220,25.126,105.07,9.52,57.8,16.1,53.8,0,1,1,0,,
221,25.234,105.84,9.45,57.8,16.1,53.8,1,1,1,0,,
222,25.342,105.22,9.5,59.1,16.1,54.3,0,1,1,0,,
223,25.45,105.74,9.46,55.8,16.1,53.8,1,1,1,0,,
224,25.559,106.66,9.38,53.7,16.0,54.3,1,1,1,0,,
225,25.669,105.44,9.48,55.8,16.0,53.8,1,1,1,0,,
226,25.777,104.8,9.54,55.8,16.0,54.3,0,1,1,0,,
227,25.884,105.43,9.49,53.7,16.0,54.3,1,1,1,0,,
228,25.992,104.99,9.52,55.8,16.0,54.3,1,1,1,0,,
229,26.1,104.41,9.58,57.1,16.0,53.8,0,1,1,0,,
230,26.207,105.25,9.5,52.5,16.0,53.8,1,1,1,0,,
231,26.315,109.35,9.15,54.5,16.0,53.8,0,1,1,0,,
232,26.427,106.05,9.43,54.8,16.1,53.8,1,1,1,0,,
233,26.536,105.3,9.5,55.8,16.0,53.2,0,1,1,0,,
234,26.644,106.84,9.36,53.7,16.0,53.2,1,1,1,0,,
235,26.754,105.21,9.5,54.8,16.0,53.2,0,1,1,0,,
236,26.861,105.27,9.5,56.8,16.0,53.2,0,1,1,0,,
237,26.969,110.76,9.03,61.4,16.1,52.1,0,1,1,0,,
238,27.083,105.68,9.46,54.8,16.1,53.2,1,1,1,0,,
239,27.191,105.63,9.47,58.7,16.1,53.8,0,1,1,0,,
240,27.3,105.48,9.48,55.8,16.1,54.3,1,1,1,0,,
241,27.408,106.64,9.38,52.5,16.1,53.2,1,1,1,0,,
242,27.517,106.19,9.42,56.8,16.1,53.8,1,1,1,0,,
243,27.626,107.05,9.34,56.8,16.1,53.2,1,1,1,0,,
244,27.736,105.66,9.46,56.8,16.1,54.3,1,1,1,0,,
245,27.844,105.2,9.51,52.5,16.1,54.3,0,1,1,0,,
246,27.952,107.25,9.32,56.8,16.1,53.8,1,1,1,0,,
247,28.062,105.45,9.48,57.8,16.1,53.8,0,1,1,0,,
248,28.17,105.54,9.48,59.6,16.1,53.2,1,1,1,0,,
249,28.278,105.46,9.48,57.8,16.1,54.3,1,1,1,0,,
250,28.386,104.95,9.53,59.1,16.1,53.2,0,1,1,0,,
251,28.494,106.71,9.37,53.7,16.1,53.8,1,1,1,0,,
252,28.603,105.86,9.45,53.7,16.1,53.2,0,1,1,0,,
253,28.712,105.9,9.44,55.8,16.1,54.3,0,1,1,0,,
254,28.821,105.78,9.45,57.8,16.1,53.8,1,1,1,0,,
