frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections
309,37.401,113.8,8.79,51.1,16.0,54.3,1
310,37.517,114.8,8.71,53.2,16.0,55.4,1
311,37.635,114.91,8.7,53.2,16.0,54.9,1
312,37.753,114.08,8.77,53.1,16.0,54.9,1
313,37.869,113.71,8.79,45.2,16.0,55.4,1
314,37.986,113.84,8.78,55.1,16.0,54.9,1
315,38.102,113.66,8.8,53.1,16.0,54.9,1
316,38.219,115.61,8.65,52.1,16.0,56.0,1
317,38.337,113.81,8.79,46.5,16.0,54.9,1
318,38.454,113.76,8.79,56.9,16.0,54.3,1
319,38.57,114.0,8.77,52.1,16.0,53.8,1
320,38.687,113.88,8.78,51.1,16.0,54.9,1
321,38.804,114.29,8.75,47.6,16.0,54.3,1
322,38.921,113.93,8.78,50.0,16.0,54.9,1
323,39.037,113.81,8.79,50.0,16.0,54.9,1
324,39.154,114.35,8.75,54.9,16.0,55.4,1
325,39.271,113.49,8.81,52.2,16.0,54.9,1
326,39.387,114.04,8.77,51.1,16.0,54.9,1
327,39.504,113.7,8.8,45.2,16.0,55.4,1
328,39.621,113.8,8.79,54.2,16.0,54.9,1
329,39.737,113.63,8.8,47.7,16.0,55.4,1
330,39.853,113.95,8.78,54.0,16.0,54.9,1
331,39.97,114.5,8.73,45.2,16.0,55.4,1
332,40.087,113.73,8.79,50.0,15.9,54.9,1
333,40.204,115.63,8.65,50.0,15.9,56.0,1
334,40.322,113.7,8.8,51.1,15.9,54.9,1
335,40.439,113.81,8.79,45.2,15.9,55.4,1
336,40.555,113.77,8.79,52.2,15.9,55.4,1
337,40.672,113.57,8.8,46.5,15.9,54.9,1
338,40.788,113.76,8.79,45.2,15.9,54.9,1
339,40.905,113.85,8.78,51.1,15.9,54.9,1
340,41.021,114.11,8.76,52.2,15.9,56.0,1
341,41.138,114.54,8.73,45.2,15.9,55.4,1
342,41.255,114.5,8.73,48.9,15.9,56.0,1
343,41.373,113.85,8.78,51.1,15.9,55.4,1
344,41.489,114.08,8.77,53.1,15.9,55.4,1
345,41.606,119.05,8.4,56.2,16.0,55.4,1
346,41.728,113.47,8.81,52.1,16.0,55.4,1
347,41.844,113.92,8.78,48.8,16.0,55.4,1
348,41.961,113.87,8.78,51.1,16.0,54.9,1
349,42.077,113.75,8.79,51.1,16.0,54.9,1
350,42.194,115.36,8.67,51.1,16.0,55.4,1
351,42.312,114.51,8.73,52.2,16.0,55.4,1
352,42.429,113.6,8.8,45.2,16.0,54.9,1
353,42.546,114.43,8.74,56.9,16.0,55.4,1
354,42.663,114.34,8.75,47.7,16.0,55.4,1
355,42.78,113.36,8.82,48.9,16.0,54.3,1
356,42.896,113.68,8.8,47.7,16.0,56.0,1
357,43.013,113.97,8.77,52.2,16.0,55.4,1
358,43.129,114.92,8.7,52.1,16.0,56.0,1
359,43.247,114.13,8.76,48.9,16.0,54.9,1
360,43.45,113.96,8.77,32.1,16.0,55.4,1
361,43.566,114.59,8.73,48.8,16.0,54.3,1
362,43.684,113.74,8.79,50.0,16.0,56.0,1
363,43.8,113.73,8.79,48.9,16.0,55.4,1
364,43.917,113.48,8.81,51.1,16.0,55.4,1
365,44.033,113.72,8.79,50.0,16.0,55.4,1
366,44.15,114.33,8.75,53.1,16.0,56.0,1
367,44.267,113.97,8.77,48.9,16.0,54.9,1
368,44.383,113.78,8.79,50.0,16.0,54.9,1
369,44.5,113.99,8.77,50.0,16.0,55.4,1
370,44.617,113.89,8.78,53.1,16.0,55.4,1
371,44.733,114.39,8.74,55.8,16.0,55.4,1
372,44.851,113.93,8.78,48.8,16.0,56.0,1
373,44.967,113.96,8.78,50.0,16.0,56.0,1
374,45.084,113.96,8.78,46.5,16.0,56.0,1
375,45.201,115.59,8.65,54.9,16.0,56.0,1
376,45.319,113.82,8.79,52.2,16.0,55.4,1
377,45.436,113.8,8.79,50.0,16.0,56.0,1
378,45.552,113.56,8.81,50.0,16.0,55.4,1
379,45.668,113.7,8.8,47.7,16.0,56.0,1
380,45.785,113.67,8.8,53.2,16.0,54.9,1
381,45.901,114.54,8.73,54.0,16.0,55.4,1
382,46.019,113.86,8.78,46.5,16.0,56.5,1
383,46.135,115.08,8.69,51.1,16.0,55.4,1
384,46.253,114.15,8.76,50.0,16.0,54.9,1
385,46.37,113.49,8.81,54.0,16.0,55.4,1
386,46.486,114.37,8.74,50.0,16.0,55.4,1
387,46.603,128.15,7.8,54.7,16.0,56.5,1
388,46.734,113.91,8.78,54.9,16.0,56.0,1
389,46.851,113.62,8.8,46.3,16.0,57.1,1
390,46.967,113.74,8.79,48.9,16.0,56.5,1
391,47.084,113.88,8.78,53.2,16.0,56.5,1
392,47.201,114.51,8.73,51.1,16.0,56.0,1
393,47.319,113.69,8.8,45.2,16.0,56.5,1
394,47.435,113.81,8.79,51.1,16.0,57.1,1
395,47.552,114.95,8.7,53.1,16.1,56.0,1
396,47.67,113.94,8.78,54.2,16.1,56.5,1
397,47.786,113.56,8.81,54.0,16.1,56.0,1
398,47.903,113.45,8.81,48.9,16.1,56.5,1
399,48.019,113.45,8.81,50.0,16.1,57.1,1
400,48.135,114.62,8.72,45.2,16.1,57.1,1
401,48.253,114.25,8.75,54.0,16.1,57.1,1
402,48.37,113.51,8.81,48.9,16.1,56.5,1
403,48.486,113.93,8.78,54.2,16.1,56.0,1
404,48.603,113.39,8.82,54.0,16.1,56.0,1
405,48.719,113.38,8.82,53.2,16.1,56.0,1
406,48.835,114.24,8.75,45.2,16.1,57.1,1
407,48.952,113.97,8.77,47.7,16.1,56.0,1
408,49.069,113.77,8.79,51.1,16.0,56.0,1
409,49.185,115.12,8.69,54.2,16.0,57.1,1
410,49.303,114.02,8.77,50.0,16.0,56.5,1
411,49.42,114.19,8.76,48.9,16.0,57.6,1
412,49.537,114.2,8.76,50.0,16.0,57.6,1
413,49.654,113.87,8.78,54.0,16.0,57.1,1
414,49.77,113.74,8.79,52.1,16.0,56.5,1
415,49.887,113.83,8.79,45.2,16.0,57.1,1
416,50.003,113.99,8.77,50.0,16.0,56.5,1
417,50.12,114.69,8.72,48.9,16.0,56.5,1
418,50.239,114.09,8.76,47.8,16.0,56.5,1
419,50.357,113.8,8.79,50.0,16.0,56.0,2
420,50.473,114.0,8.77,51.1,16.0,57.1,1
421,50.59,114.27,8.75,54.9,16.0,56.5,1
422,50.707,114.3,8.75,48.9,16.0,56.0,1
423,50.824,113.86,8.78,51.1,16.0,56.5,1
424,50.941,113.95,8.78,52.1,16.0,57.1,1
425,51.057,113.94,8.78,48.9,16.0,55.4,1
