frame,timestamp,fps,latency_ms,cpu_percent,detections_count,labels
295,1778952074.07,10.49,94.55,63.2,7,"bottle,chair,microwave,bottle,bottle,bottle,bowl"
296,1778952074.16,11.55,85.83,58.8,7,"bottle,chair,microwave,bottle,bottle,bowl,bottle"
297,1778952074.24,11.53,85.98,60.0,7,"bottle,microwave,chair,bottle,bottle,bottle,bowl"
298,1778952074.33,11.37,87.2,57.6,7,"bottle,chair,microwave,bottle,bottle,bottle,bowl"
299,1778952074.42,11.63,85.23,54.8,7,"bottle,microwave,chair,bottle,bottle,bottle,bowl"
300,1778952074.5,11.46,86.52,60.0,7,"bottle,microwave,chair,bowl,bottle,bottle,bottle"
301,1778952074.59,11.46,86.53,58.8,6,"bottle,chair,microwave,bottle,bottle,bottle"
302,1778952074.68,11.4,86.95,58.8,7,"bottle,microwave,chair,bottle,bottle,bottle,bowl"
303,1778952074.77,11.51,86.14,63.2,7,"bottle,chair,microwave,bottle,bottle,bottle,bowl"
304,1778952074.85,11.44,86.66,59.5,7,"bottle,chair,microwave,bottle,bottle,bottle,bowl"
305,1778952074.94,11.51,86.15,58.8,7,"bottle,chair,microwave,bowl,bottle,bottle,bottle"
306,1778952075.03,11.23,88.27,60.6,6,"bottle,microwave,chair,bottle,bottle,bottle"
307,1778952075.12,11.48,86.42,58.8,7,"bottle,microwave,chair,bottle,bowl,bottle,bottle"
308,1778952075.2,11.73,84.48,56.3,6,"bottle,microwave,chair,bottle,bottle,bottle"
309,1778952075.29,11.6,85.49,61.1,6,"bottle,microwave,chair,bottle,bottle,bottle"
310,1778952075.38,11.55,85.78,54.8,6,"bottle,chair,microwave,bottle,bottle,bottle"
311,1778952075.46,11.46,86.52,58.8,6,"bottle,microwave,chair,bottle,bottle,bottle"
312,1778952075.55,11.48,86.32,60.0,7,"bottle,chair,microwave,bottle,bottle,bottle,bowl"
313,1778952075.64,11.39,87.12,62.5,7,"bottle,microwave,chair,bowl,bottle,bottle,bottle"
