frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections
266,51.848,189.35,5.28,47.4,16.1,54.3,2
267,52.04,188.33,5.31,43.1,16.1,55.4,1
268,52.231,188.67,5.3,48.7,16.0,55.4,1
269,52.423,189.62,5.27,50.0,16.0,54.9,1
270,52.616,189.53,5.28,44.4,16.1,55.4,1
271,52.808,189.22,5.28,45.2,16.1,54.3,1
272,53.0,188.84,5.3,41.4,16.1,54.9,1
273,53.192,188.51,5.3,39.7,16.1,54.9,1
274,53.384,190.21,5.26,44.4,16.1,54.3,1
275,53.577,188.53,5.3,48.1,16.1,54.9,1
276,53.768,188.52,5.3,42.0,16.1,55.4,1
277,53.96,188.43,5.31,43.1,16.1,54.3,1
278,54.151,188.75,5.3,47.4,16.1,55.4,1
279,54.343,188.67,5.3,51.2,16.0,54.3,1
280,54.535,189.58,5.27,47.4,16.0,54.3,1
281,54.727,189.48,5.28,44.4,16.0,55.4,1
282,54.92,188.85,5.3,41.4,16.0,55.4,1
283,55.112,188.71,5.3,43.8,16.0,55.4,1
284,55.303,189.04,5.29,47.4,16.0,55.4,1
285,55.495,190.69,5.24,46.1,16.0,54.9,1
286,55.689,188.97,5.29,49.4,16.0,55.4,1
287,55.881,188.81,5.3,48.8,16.0,55.4,1
288,56.073,189.32,5.28,48.8,16.0,56.0,1
289,56.265,189.21,5.29,48.7,16.0,55.4,1
290,56.457,192.93,5.18,50.6,16.0,55.4,1
291,56.653,189.36,5.28,46.7,16.0,55.4,1
292,56.846,189.14,5.29,45.3,16.0,55.4,1
293,57.038,188.81,5.3,46.1,16.0,55.4,1
294,57.23,188.88,5.29,45.9,16.0,55.4,1
295,57.422,190.55,5.25,48.8,16.0,54.3,1
296,57.615,190.71,5.24,50.0,16.0,54.9,1
297,57.809,189.18,5.29,47.4,16.0,54.9,1
298,58.001,189.06,5.29,48.1,16.0,54.9,1
299,58.193,189.0,5.29,47.4,16.0,55.4,1
300,58.385,190.04,5.26,45.9,16.0,55.4,1
301,58.579,190.17,5.26,47.4,16.0,55.4,1
302,58.772,189.09,5.29,41.4,16.0,54.9,1
303,58.964,188.83,5.3,42.9,16.0,56.0,1
304,59.156,188.84,5.3,41.4,16.0,55.4,1
305,59.348,189.5,5.28,43.1,16.0,56.0,1
306,59.54,190.78,5.24,45.9,16.0,55.4,1
307,59.734,189.13,5.29,45.3,16.0,55.4,1
308,59.926,188.91,5.29,46.1,16.0,54.3,1
