frame,timestamp,fps,latency_ms,cpu_percent,detections_count,labels
357,1778951330.85,11.72,84.63,54.8,3,"bottle,microwave,bottle"
358,1778951330.93,11.44,86.67,57.6,3,"bottle,bottle,microwave"
359,1778951331.02,11.39,87.06,60.0,3,"bottle,bottle,microwave"
360,1778951331.11,11.52,86.06,57.6,3,"bottle,bottle,microwave"
361,1778951331.2,11.53,86.03,61.5,4,"bottle,bottle,microwave,bowl"
362,1778951331.28,11.55,85.87,62.2,3,"bottle,microwave,bottle"
363,1778951331.37,11.38,87.17,57.6,2,"bottle,bottle"
364,1778951331.46,10.98,90.27,64.9,3,"bottle,microwave,bottle"
365,1778951331.55,11.53,86.02,57.6,3,"bottle,bottle,microwave"
366,1778951331.64,11.57,85.7,58.8,2,"bottle,bottle"
367,1778951331.72,11.48,86.27,61.1,3,"bottle,bottle,sink"
