frame,timestamp,fps,latency_ms,cpu_percent,detections_count,labels
274,1778951913.67,11.8,84.11,63.2,7,"chair,microwave,bottle,bottle,bottle,bottle,chair"
275,1778951913.75,11.72,84.67,60.6,7,"chair,microwave,bottle,bottle,chair,bottle,bottle"
276,1778951913.84,11.8,84.15,58.8,6,"chair,bottle,microwave,bottle,bottle,bottle"
277,1778951913.92,11.76,84.47,60.0,6,"chair,bottle,microwave,bottle,bottle,chair"
278,1778951914.01,11.71,84.76,56.3,7,"chair,bottle,microwave,bottle,bottle,chair,bottle"
279,1778951914.1,11.58,85.76,60.0,7,"chair,microwave,bottle,bottle,chair,bottle,bottle"
280,1778951914.18,11.73,84.61,58.8,6,"chair,microwave,bottle,chair,bottle,bottle"
281,1778951914.27,11.66,85.15,57.6,6,"chair,microwave,bottle,bottle,bottle,chair"
282,1778951914.35,11.65,85.22,61.1,6,"chair,microwave,bottle,bottle,bottle,bottle"
283,1778951914.44,11.57,85.83,57.6,5,"chair,microwave,bottle,bottle,bottle"
284,1778951914.53,11.68,84.97,57.6,6,"chair,microwave,bottle,chair,bottle,bottle"
285,1778951914.61,11.52,86.23,61.1,7,"chair,microwave,bottle,chair,bottle,bottle,bottle"
286,1778951914.7,11.73,84.55,59.4,5,"chair,microwave,bottle,bottle,bottle"
287,1778951914.79,11.65,85.28,61.1,6,"chair,microwave,bottle,chair,bottle,bottle"
288,1778951914.87,11.57,85.77,58.8,8,"chair,microwave,bottle,bottle,bottle,chair,bottle,bottle"
289,1778951914.96,11.79,84.21,64.1,7,"chair,microwave,bottle,chair,bottle,bottle,bottle"
290,1778951915.05,11.06,89.75,59.4,7,"chair,microwave,bottle,bottle,chair,bottle,bottle"
291,1778951915.14,11.36,87.28,56.2,7,"chair,microwave,bottle,bottle,bottle,bottle,chair"
292,1778951915.22,11.79,84.2,63.9,5,"chair,microwave,bottle,bottle,chair"
293,1778951915.31,11.67,85.07,58.8,6,"chair,microwave,bottle,bottle,bottle,chair"
294,1778951915.39,11.81,84.04,58.8,5,"chair,microwave,bottle,bottle,chair"
295,1778951915.48,11.61,85.49,62.2,6,"chair,microwave,bottle,bottle,chair,bottle"
296,1778951915.56,11.73,84.61,56.3,6,"chair,microwave,bottle,bottle,chair,bottle"
297,1778951915.65,11.73,84.66,61.1,5,"chair,microwave,bottle,bottle,bottle"
298,1778951915.74,11.7,84.82,59.4,4,"chair,bottle,microwave,bottle"
299,1778951915.82,11.61,85.51,53.1,7,"microwave,chair,bottle,bottle,chair,bottle,bottle"
300,1778951915.91,11.63,85.34,57.6,7,"chair,microwave,bottle,bottle,chair,bottle,bottle"
301,1778951916.0,11.39,87.13,61.1,7,"chair,microwave,bottle,bottle,bottle,chair,bottle"
302,1778951916.08,11.38,87.23,61.8,5,"chair,bottle,microwave,bottle,bottle"
