frame,timestamp,fps,latency_ms,cpu_percent,detections_count,active_tracks,track_ids,labels,directions,proximities,risk_scores,missing_tracks
200,1778953266.3,11.82,84.0,54.8,0,0,,,,,,3
201,1778953266.38,11.53,86.1,57.6,1,1,14,microwave,center,0.22,0.0,3
202,1778953266.47,11.74,84.59,58.8,0,0,,,,,,3
203,1778953266.56,11.67,85.09,53.3,1,1,14,microwave,center,0.24,0.18,2
204,1778953266.64,11.83,83.91,60.0,0,0,,,,,,3
205,1778953266.73,11.73,84.63,58.8,0,0,,,,,,3
206,1778953266.81,11.65,85.19,54.8,0,0,,,,,,3
207,1778953266.9,11.66,85.13,58.8,0,0,,,,,,3
208,1778953266.98,11.67,85.06,57.6,1,1,14,microwave,center,0.23,0.17,2
209,1778953267.07,11.63,85.33,58.1,0,0,,,,,,2
210,1778953267.16,11.61,85.49,58.8,0,0,,,,,,1
211,1778953267.24,11.75,84.53,58.8,0,0,,,,,,1
212,1778953267.33,11.7,84.84,57.6,0,0,,,,,,1
213,1778953267.41,11.67,85.07,60.0,1,1,14,microwave,center,0.24,0.19,0
214,1778953267.5,11.73,84.63,56.3,0,0,,,,,,1
215,1778953267.59,11.66,85.16,58.8,0,0,,,,,,1
216,1778953267.67,11.69,84.9,56.3,1,1,14,microwave,center,0.25,0.19,0
217,1778953267.76,11.7,84.83,60.0,1,1,14,microwave,center,0.23,0.18,0
218,1778953267.84,11.75,84.51,60.0,0,0,,,,,,1
219,1778953267.93,11.63,85.33,51.7,0,0,,,,,,1
220,1778953268.02,11.57,85.77,58.8,0,0,,,,,,1
221,1778953268.1,11.62,85.45,60.0,0,0,,,,,,1
222,1778953268.19,11.69,84.94,57.6,0,0,,,,,,1
223,1778953268.27,11.76,84.43,61.8,0,0,,,,,,1
224,1778953268.36,11.73,84.61,58.8,0,0,,,,,,1
225,1778953268.44,11.6,85.59,54.8,0,0,,,,,,1
226,1778953268.53,11.72,84.69,58.8,0,0,,,,,,1
227,1778953268.63,10.3,96.42,65.0,0,0,,,,,,1
228,1778953268.71,11.78,84.24,60.0,0,0,,,,,,0
