frame,timestamp,fps,latency_ms,cpu_percent,detections_count,active_tracks,track_ids,labels,directions,proximities,risk_scores,missing_tracks
203,1778953090.04,11.46,86.63,62.2,1,1,1,person,center,0.86,0.63,0
204,1778953090.13,11.81,84.01,62.9,1,1,1,person,center,0.86,0.63,0
205,1778953090.21,11.74,84.56,61.1,1,1,1,person,center,0.86,0.63,0
206,1778953090.3,11.7,84.77,56.3,1,1,1,person,center,0.86,0.63,0
207,1778953090.38,11.73,84.65,61.1,1,1,1,person,center,0.86,0.63,0
208,1778953090.47,11.64,85.23,57.6,1,1,1,person,center,0.86,0.63,0
209,1778953090.56,11.71,84.75,57.6,1,1,1,person,center,0.86,0.63,0
210,1778953090.64,11.6,85.47,58.8,1,1,1,person,center,0.86,0.63,0
211,1778953090.73,11.68,85.01,62.9,1,1,1,person,center,0.86,0.63,0
212,1778953090.81,11.67,85.05,57.6,1,1,1,person,center,0.86,0.63,0
213,1778953090.9,11.63,85.33,60.0,1,1,1,person,center,0.86,0.63,0
214,1778953090.99,11.69,84.92,58.8,1,1,1,person,center,0.86,0.63,0
215,1778953091.07,11.66,85.06,61.1,1,1,1,person,center,0.86,0.63,0
216,1778953091.16,11.65,85.17,57.6,1,1,1,person,center,0.86,0.63,0
217,1778953091.24,11.67,85.06,61.8,1,1,1,person,center,0.86,0.63,0
218,1778953091.33,11.65,85.17,58.8,1,1,1,person,center,0.86,0.63,0
219,1778953091.42,11.66,85.1,60.0,1,1,1,person,center,0.86,0.63,0
220,1778953091.5,11.71,84.79,57.6,1,1,1,person,center,0.86,0.63,0
221,1778953091.59,11.66,85.13,56.3,1,1,1,person,center,0.86,0.63,0
222,1778953091.67,11.66,85.08,57.6,1,1,1,person,center,0.86,0.63,0
223,1778953091.76,11.65,85.2,54.8,1,1,1,person,center,0.86,0.63,0
224,1778953091.85,11.61,85.48,57.6,1,1,1,person,center,0.86,0.63,0
225,1778953091.93,11.67,85.04,61.1,1,1,1,person,center,0.86,0.63,0
226,1778953092.02,11.54,85.98,58.8,1,1,1,person,center,0.86,0.63,0
227,1778953092.11,11.66,85.15,61.8,1,1,1,person,center,0.86,0.63,0
228,1778953092.19,11.65,85.15,57.6,1,1,1,person,center,0.86,0.63,0
229,1778953092.28,11.77,84.34,62.2,1,1,1,person,center,0.86,0.63,0
230,1778953092.36,11.65,85.12,60.0,1,1,1,person,center,0.86,0.63,0
231,1778953092.45,11.67,85.08,60.0,1,1,1,person,center,0.86,0.63,0
232,1778953092.54,11.64,85.24,61.1,1,1,1,person,center,0.86,0.63,0
233,1778953092.62,11.65,85.19,62.2,1,1,1,person,center,0.86,0.63,0
234,1778953092.71,11.63,85.31,58.8,1,1,1,person,center,0.86,0.63,0
235,1778953092.79,11.69,84.88,60.0,1,1,1,person,center,0.86,0.63,0
236,1778953092.88,11.64,85.24,58.8,1,1,1,person,center,0.86,0.63,0
237,1778953092.97,11.69,84.94,60.6,1,1,1,person,center,0.86,0.63,0
238,1778953093.05,11.56,85.84,56.2,1,1,1,person,center,0.86,0.63,0
239,1778953093.14,11.67,85.08,61.1,1,1,1,person,center,0.86,0.63,0
240,1778953093.22,11.66,85.14,54.8,1,1,1,person,center,0.86,0.63,0
241,1778953093.31,11.65,85.24,62.2,1,1,1,person,center,0.86,0.63,0
242,1778953093.4,10.77,92.07,60.6,1,1,1,person,center,0.86,0.63,0
243,1778953093.49,11.58,85.68,61.1,1,1,1,person,center,0.86,0.63,0
244,1778953093.58,11.68,84.92,53.3,1,1,1,person,center,0.86,0.63,0
