frame,timestamp,fps,latency_ms,cpu_percent,detections_count,active_tracks,track_ids,labels,directions,proximities,risk_scores,missing_tracks
219,1778953523.21,11.64,85.24,57.6,3,3,"5,7,8","person,microwave,tv","right,right,right","0.63,0.29,0.29","0.54,0.21,0.0",0
220,1778953523.29,11.68,84.91,62.2,3,3,"5,7,8","person,microwave,tv","right,right,right","0.63,0.29,0.29","0.54,0.21,0.21",0
221,1778953523.38,11.63,85.29,60.0,2,2,"5,7","person,microwave","right,right","0.63,0.29","0.55,0.21",1
222,1778953523.47,11.65,85.08,62.2,1,1,7,microwave,right,0.29,0.21,2
223,1778953523.55,11.68,84.93,57.6,1,1,7,microwave,right,0.29,0.21,2
224,1778953523.64,11.73,84.53,62.2,1,1,7,microwave,right,0.29,0.21,2
225,1778953523.72,11.73,84.53,60.0,1,1,7,microwave,right,0.3,0.21,2
226,1778953523.81,11.75,84.31,54.8,0,0,,,,,,3
227,1778953523.89,11.72,84.6,62.9,1,1,7,microwave,right,0.29,0.21,2
228,1778953523.98,11.77,84.24,57.6,1,1,7,microwave,right,0.3,0.21,2
229,1778953524.07,11.49,86.35,57.1,0,0,,,,,,3
230,1778953524.16,10.59,93.75,64.9,0,0,,,,,,3
231,1778953524.25,11.62,85.35,54.8,0,0,,,,,,2
232,1778953524.33,11.56,85.79,61.1,1,1,7,microwave,right,0.29,0.21,0
233,1778953524.42,11.69,84.85,56.3,0,0,,,,,,1
234,1778953524.51,11.61,85.44,61.1,1,1,7,microwave,right,0.3,0.21,0
235,1778953524.59,11.68,84.95,54.8,0,0,,,,,,1
236,1778953524.68,11.66,85.04,58.8,1,1,7,microwave,right,0.3,0.21,0
237,1778953524.76,11.65,85.12,56.3,1,1,7,microwave,right,0.3,0.21,0
238,1778953524.85,11.72,84.61,56.3,0,0,,,,,,1
239,1778953524.94,11.7,84.73,57.6,0,0,,,,,,1
240,1778953525.03,11.19,88.64,62.2,1,1,7,microwave,right,0.29,0.21,0
241,1778953525.11,11.66,85.05,60.0,1,1,7,microwave,right,0.3,0.21,0
242,1778953525.2,11.25,88.21,61.1,1,1,7,microwave,right,0.3,0.21,0
243,1778953525.29,11.59,85.57,56.3,1,1,7,microwave,right,0.3,0.21,0
244,1778953525.37,11.71,84.68,61.1,0,0,,,,,,1
245,1778953525.46,11.7,84.8,57.6,0,0,,,,,,1
246,1778953525.54,11.73,84.51,56.3,1,1,7,microwave,right,0.3,0.21,0
247,1778953525.63,11.64,85.2,61.1,1,1,7,microwave,right,0.29,0.21,0
248,1778953525.72,11.74,84.49,56.3,0,0,,,,,,1
249,1778953525.8,11.68,84.89,62.9,0,0,,,,,,1
250,1778953525.89,11.74,84.32,57.6,0,0,,,,,,1
251,1778953525.97,11.72,84.62,56.3,1,1,7,microwave,right,0.3,0.21,0
252,1778953526.06,11.5,86.21,58.8,1,1,7,microwave,right,0.3,0.21,0
253,1778953526.15,11.63,85.29,61.1,1,1,7,microwave,right,0.3,0.21,0
254,1778953526.23,11.72,84.57,58.8,0,0,,,,,,1
255,1778953526.32,11.88,83.52,58.8,1,1,7,microwave,right,0.3,0.21,0
256,1778953526.4,11.76,84.34,60.6,0,0,,,,,,1
257,1778953526.49,11.67,85.01,58.8,1,1,7,microwave,right,0.3,0.21,0
258,1778953526.57,11.68,84.89,60.0,1,1,7,microwave,right,0.3,0.21,0
259,1778953526.66,11.73,84.57,56.2,1,1,7,microwave,right,0.29,0.21,0
260,1778953526.74,11.72,84.59,53.3,0,0,,,,,,1
261,1778953526.83,11.78,84.16,62.2,0,0,,,,,,1
262,1778953526.91,11.71,84.7,57.6,1,1,7,microwave,right,0.3,0.21,0
263,1778953527.0,11.44,86.74,54.8,0,0,,,,,,1
264,1778953527.09,11.59,85.58,60.0,0,0,,,,,,1
265,1778953527.17,11.67,85.0,57.6,1,1,7,microwave,right,0.3,0.21,0
266,1778953527.26,11.61,85.41,60.0,1,1,7,microwave,right,0.3,0.21,0
267,1778953527.35,11.74,84.45,58.8,0,0,,,,,,1
268,1778953527.43,11.7,84.74,53.3,1,1,7,microwave,right,0.29,0.21,0
269,1778953527.52,11.69,84.86,61.1,1,1,7,microwave,right,0.3,0.21,0
270,1778953527.6,11.72,84.61,58.1,1,1,7,microwave,right,0.29,0.21,0
271,1778953527.69,11.66,85.06,62.2,1,1,7,microwave,right,0.29,0.21,0
